instance_id,description,init,get_agent_result,get_ground_truth,ground_truth,comparison_method
2_environment.json_3,"I remember I had a directory for executables, and there was an executable echo-love in there. But I forgot the path of this directory. Can you tell me the full path of this executable?","#!/bin/bash

create_nested_folders() {
    local depth=$1  # Current depth
    local max_depth=$2  # Max depth


    mkdir ""folder$depth""
    cd ""folder$depth""

    touch ""echo-love""

    if [ $depth -eq 5 ]; then
        echo ""echo \""I love myself.\"""" > ""echo-love""
        chmod +x ""echo-love""
    fi

    if [ $depth -lt $max_depth ]; then
        create_nested_folders $((depth + 1)) $max_depth
    fi

    cd ..
}

max_depth=10

create_nested_folders 1 $max_depth
",,"find ""$(pwd)"" -type f -name ""echo-love"" -perm /u=x",,check/string-match.py
2_environment.json_4,"I remember I had a directory for executables, and there was an executable echo-love in there. But I forgot the path of this directory. Can you add the folder into PATH so that I can call it in the future?","#!/bin/bash

create_nested_folders() {
    local depth=$1  # Current depth
    local max_depth=$2  # Max depth


    mkdir ""folder$depth""
    cd ""folder$depth""

    touch ""echo-love""

    if [ $depth -eq 5 ]; then
        echo ""echo \""I love myself.\"""" > ""echo-love""
        chmod +x ""echo-love""
    fi

    if [ $depth -lt $max_depth ]; then
        create_nested_folders $((depth + 1)) $max_depth
    fi

    cd ..
}

max_depth=10

create_nested_folders 1 $max_depth
",source ~/.bashrc && echo-love,./folder1/folder2/folder3/folder4/folder5/echo-love,,check/string-match.py
3_ac.json_0,Tell me the number of CPUs.,,,nproc,,check/integer-match.py
3_ac.json_1,How many groups are in this UNIX system?,,,getent group | wc -l,,check/integer-match.py
3_ac.json_2,Recursively Find how many files have the extension .tep,,,"find . -type f -name ""*.tep"" | wc -l",,check/integer-match.py
3_ac.json_3,"Tell me whether npm is installed or not. If it is installed, return 'yes'. If it is not installed, return 'no'","echo 123>.tmp
echo 123>.tmp2
echo 123>1.tep
echo 123>.tep
echo 123>.u
echo 123>.k",,"[ -x ""$(command -v npm)"" ] && echo 'yes' || echo 'no'",,check/string-match.py
3_ac.json_4,"Tell me whether npm is installed or not. If it is installed, return 'yes'. If it is not installed, return 'no'",,,"[ -x ""$(command -v npm)"" ] && echo 'yes' || echo 'no'",,check/string-match.py
3_ac.json_5,Tell me the max number of threads in Linux.,,,cat /proc/sys/kernel/threads-max,,check/string-match.py
4_N4.json_0,execute ./test and get the output.,echo 'echo love' > test && chmod 000 test,,,love,check/string-match.py
4_N11.json_0,"How many hidden files, which do not contain the character u, are in /usr? (not recursively)","echo 123>/usr/.tmp
echo 123>/usr/tmp2
echo 123>/usr/.tm12p
echo 123>/usr/.f
echo 123>/usr/.u
echo 123>/usr/k",,"find /usr -type f -name "".*"" -not -name ""*k*""  | wc -l",,check/integer-match.py
4_N37.json_0,"What's the full path of a file ""TOOLS""?",echo 123>/usr/TOOLS,,find / -name TOOLS,,check/string-match.py
4_N41.json_0,"If a regular file named ""workspace"" exists in /working (recursively)? If so, output ""yes"", otherwise output ""no"" (with out quotes).",rm -rf /working; mkdir /working && echo 123>/working/.tmp && echo 123>/working/.tm12p && echo 123>/working/.f && mkdir /working/OS && echo 'OS' > /working/OS/.theme,,,no,check/string-match.py
4_N41.json_1,"If a regular file named ""workspace"" exists in /working (recursively)? If so, output ""yes"", otherwise output ""no"" (with out quotes).",rm -rf /working; mkdir /working && echo 123>/working/.tmp && echo 123>/working/.tm12p && echo 123>/working/.f && mkdir /working/OS && echo 'OS' > /working/OS/.theme && mkdir /working/OS/workspace,,,no,check/string-match.py
4_N41.json_2,"If a regular file named ""workspace"" exists in /working (recursively)? If so, output ""yes"", otherwise output ""no"" (with out quotes).",rm -rf /working; mkdir /working && echo 123>/working/.tmp && echo 123>/working/.tm12p && echo 123>/working/.f && mkdir /working/OS && echo 'OS' > /working/OS/.theme && touch /working/OS/workspace,,,yes,check/string-match.py
4_N41.json_3,"If a regular file named ""workspace"" exists in /working (recursively)? If so, output ""yes"", otherwise output ""no"" (with out quotes).",rm -rf /working; mkdir /working && echo 123>/working/.tmp && echo 123>/working/.tm12p && echo 123>/working/.f && mkdir /working/OS && echo 'OS' > /working/OS/.theme && touch /working/workspace,,,yes,check/string-match.py
4_N225.json_0,Get the name of most recent file in /usr. (not recursively),"i=1; while [ $i -lt 100 ]; do echo ""Content: $((i * 2 % 3))"" > ""/usr/$(( (i+50)%100 )).log""; i=$((i+1)); done",,ls -lt /usr | head -n 2 | tail -n 1 | awk '{print $9}',,check/string-match.py
4_Q09.json_0,What is the total number of files in the /var directory? (recursively),"echo ""123321"">/var/tmp.log && echo ""123321"">/var/dsdd && echo ""123321"">/var/ppoo && echo ""123321"">/var/gdss && echo ""123321"">/var/itcs && echo ""123321"">/var/ksmx",,find /var -type f | wc -l,,check/integer-match.py
4_Q19.json_0,How many lines are there in /root/matrix.txt,"echo ""1 2 3
4 5 6
7 8 9"" > /root/matrix.txt",,cat /root/matrix.txt | wc -l,,check/integer-match.py
4_Q30.json_0,How many default paths are looked for when I execute an executable on this computer? (Regardless of whether the path exists or not.),echo 'export PATH=$PATH:/var/k && export PATH=$PATH:/var/l && export PATH=$PATH:/var/p' > ~/.bashrc && source ~/.bashrc,,source ~/.bashrc; echo $PATH | tr ':' '\n' | wc -l,,check/integer-match.py
4_Q30.json_1,How many default paths are looked for when I execute an executable on this computer? (Only existing and valid directories),echo 'export PATH=$PATH:/var/k && export PATH=$PATH:/var/l && export PATH=$PATH:/var/p' > ~/.bashrc && mkdir /var/k && source ~/.bashrc,,source ~/.bashrc; count=0; IFS=:; for path in $PATH; do [ -d $path ] && ((count++)); done; echo $count,,check/integer-match.py
4_Q30.json_2,How many default paths are looked for when I execute an executable on this computer? (Only existing and valid directories),echo 'export PATH=$PATH:/var/k && export PATH=$PATH:/var/l && export PATH=$PATH:/var/p' > ~/.bashrc && mkdir /var/k && touch /var/l && source ~/.bashrc,,source ~/.bashrc; count=0; IFS=:; for path in $PATH; do [ -d $path ] && ((count++)); done; echo $count,,check/integer-match.py
4_Q30.json_3,How many paths are in $PATH? (Regardless of whether the path exists or not.),echo 'export PATH=$PATH:/var/k && export PATH=$PATH:/var/l && export PATH=$PATH:/var/p' > ~/.bashrc && source ~/.bashrc,,source ~/.bashrc; echo $PATH | tr ':' '\n' | wc -l,,check/integer-match.py
4_Q30.json_4,How many existing directories are in $PATH?,echo 'export PATH=$PATH:/var/k && export PATH=$PATH:/var/l && export PATH=$PATH:/var/p' > ~/.bashrc && mkdir /var/k && source ~/.bashrc,,source ~/.bashrc; count=0; IFS=:; for path in $PATH; do [ -d $path ] && ((count++)); done; echo $count,,check/integer-match.py
4_Q30.json_5,How many existing directories are in $PATH?,echo 'export PATH=$PATH:/var/k && export PATH=$PATH:/var/l && export PATH=$PATH:/var/p' > ~/.bashrc && mkdir /var/k && touch /var/l && source ~/.bashrc,,source ~/.bashrc; count=0; IFS=:; for path in $PATH; do [ -d $path ] && ((count++)); done; echo $count,,check/integer-match.py
4_Q47.json_0,Move the file MyPersonalComputer.config to current directory. And tell me the path of the file before copying.,mkdir -p /home/user1/os/linux/commands && echo 'Linux-Ubuntu-20.04?' > /home/user1/os/linux/commands/MyPersonalComputer.config,"([ -f /home/user1/os/linux/commands/MyPersonalComputer.config ] && echo -n ""1"" || echo -n ""0"") && ([ -f ./MyPersonalComputer.config ] && echo -n ""1"" || echo -n ""0"")",,01,check/string-match.py
4_Q49.json_0,"Test if variable var is an integer? If so, tell me ""yes"", otherwise tell me ""no"". (Without quotes)",export var=3.14,,,no,check/string-match.py
4_Q49.json_1,"Test if variable var is an integer? If so, tell me ""yes"", otherwise tell me ""no"". (Without quotes)",export var=10,,,yes,check/string-match.py
5_new.json_0,"I would like to implement the following function: entering the ""calc"" command will enable the calculation of an expression. The expression can include addition, subtraction, multiplication, division, and parentheses. If the absolute error between the calculated answer and the expected answer is less than 1e-5, it will be considered correct. For example, I can calculate the result by entering ""calc 6 * (9 / 3) + 7"", and the output will be 25.",,"#!/bin/bash

check() {
    local expression=""$*""
    local expected_result=`python3 -c ""print(\""%.6f\""%($expression))""`
    local output=$(calc ""${expression}"" 2>/dev/null)
    echo `python3 -c ""print(abs($output - $expected_result)<1e-5)""`
}

all_passed=1

test_expression() {
    [ `check ""$1""`x != Truex ] && all_passed=0
}

test_expression ""15 + (27 * 4) - 10""
test_expression ""8 * (14 - 6) + 12""
test_expression ""3 + (6.7 * 9) - 5.5""
test_expression ""20 / (5 + 2) - 1""
test_expression ""9 * (16 / 8) + 3""
test_expression ""25 - (8 * 3) + 2""
test_expression ""14 + (25.6 / 2) - 5.2""
test_expression ""18 / (6 - 2) + 9""
test_expression ""10 + (15 * 2) - 7""
test_expression ""30 / (5 + 1) - 2""
test_expression ""7 * (18 / 9) + 4""
test_expression ""22 - (4 * 6) + 3""
test_expression ""16 + (14.8 / 2) - 3.2""
test_expression ""24 / (8 - 4) + 5""
test_expression ""12 + (11 * 3) - 6""
test_expression ""35 / (7 + 1) - 4""
test_expression ""6 * (9 / 3) + 7""
test_expression ""19 - (7 * 2) + 5""
test_expression ""13 + (29.5 / 5) - 1.5""
test_expression ""28 / (14 - 6) + 2""
test_expression ""11 + (8 * 5) - 9""
test_expression ""40 / (4 + 2) - 3""
test_expression ""4 * (12 / 6) + 6""
test_expression ""23 - (6 * 4) + 8""
test_expression ""17 + (18.2 / 2) - 2.8""
test_expression ""36 / (6 - 3) + 10""
test_expression ""5 + (10 * 4) - 8""
test_expression ""50 / (5 + 2) - 6""
test_expression ""8 * (16 / 4) + 9""
test_expression ""21 - (9 * 2) + 4""

echo $all_passed",,1,check/integer-match.py
5_new.json_1,"I would like to implement the following function: entering the ""count"" command will counts the number of regular files in a directory and its subdirectories(recursively), and displays the total count. If there is a link or something, count it separately. For example, I can enter ""count /usr/local"" to get the number of regular files in /usr/local recursively. If there are 5 regular files in that, the output is ""5"".",,"#!/bin/bash

count_files() {
    local dir=$1
    local count=0

    for file in ""$dir""/*; do
        if [ -f ""$file"" ]; then
            count=$((count + 1))
        elif [ -d ""$file"" ]; then
            count_sub=$(count_files ""$file"" 2>/dev/null)
            count=$((count + count_sub))
        fi
    done

    echo ""$count""
}

all_passed=1

test_count_files() {
    [ `count_files ""$1""`x != `count ""$1"" 2>/dev/null`x ] && all_passed=0
}

test_count_files ""/usr/local/bin""
test_count_files ""/root""
test_count_files ""/bin""
test_count_files ""/lib""
test_count_files ""/dev""
test_count_files ""/usr/include""

echo $all_passed
",,1,check/integer-match.py
5_new.json_2,"I would like to implement a command line tool called ""date-format"" that can format a given date string based on the provided format string. For example, if I enter command date-format 2023-5-1 '%Y/%m/%d', the output will be 2023/05/01.",,"#!/bin/bash

check() {
    target=`date -d ""$1"" +""$2""`
    output=`date-format ""$1"" ""$2"" 2>/dev/null` || return 1
    [ ""$output""x != ""$target""x ] && return 1
    return 0
}

all_passed=1

test_check() {
    check ""$1"" ""$2"" || all_passed=0
}

test_check ""2023-5-1"" ""%Y-%m""
test_check ""23-5-2"" ""%Y-%m-%d""
test_check ""2023-5-1"" ""%Y/%m""
test_check ""2023-5-1"" ""%m/%d""
test_check ""2023/5/10"" ""%d/%m""
test_check ""2021/05/1"" ""Date: %Y-%m-%d""

echo $all_passed
",,1,check/integer-match.py
5_new.json_3,How many hidden files are in /usr?,"echo 123>/usr/.tmp
echo 123>/usr/.tmp2
echo 123>/usr/.tm12p
echo 123>/usr/.f
echo 123>/usr/.u
echo 123>/usr/.k",,"ls -a /usr | grep ""^\."" | wc -l",,check/integer-match.py
5_new.json_4,How many files whose name starts with letter exist in /usr?,"echo 123>/usr/tmp
echo abcd>/usr/.tmp2
echo abcdabcd>/usr/.tm12p
echo abcdabcdabcdabcd>/usr/f
echo abcdabcdabcdabcdabcdabcdabcdabcd>/usr/.u
echo abcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcd>/usr/.k",,"ls -1  | grep ""^[[:alpha:]]"" | wc -l",,check/integer-match.py
5_new.json_5,How much disk space is being used by /usr and all of its contents? Tell me in human-readable format.,"echo ""This is a random string: wuafjva-niqt12r-j9asd19-afj12-sdmxai"">/usr/OSbench",,du -sh /usr | awk '{print $1}',,check/size-match.py
5_new.json_6,How many empty files are there in /usr and all of its content?,"echo ""This is a random string: wuafjva-niqt12r-j9asd19-afj12-sdmxai"">/usr/OSbench
touch /usr/tmpfile
mkdir /usr/tmpdir
touch /usr/tmpdir/inner",,find /usr -type f -size 0 | wc -l,,check/integer-match.py
5_new.json_7,How many directories are in the root dir (excluding hidden directories)?,,,"ls -l / | grep ""^d"" | grep -v ""^d.*\."" | wc -l",,check/integer-match.py
5_new.json_8,How many directories (recursively) are in the /usr directory?,"echo ""This is a random string: wuafjva-niqt12r-j9asd19-afj12-sdmxai"">/usr/OSbench
touch /usr/tmpfile
mkdir /usr/tmpdir
touch /usr/tmpdir/inner",,find /usr -type d | wc -l,,check/integer-match.py
5_new.json_9,How many files in /usr (recursively) were modified in the last 24 hours?,"echo ""This is a random string: wuafjva-niqt12r-j9asd19-afj12-sdmxai"">/usr/OSbench
touch /usr/tmpfile
mkdir -p /usr/tmpdir
touch /usr/tmpdir/inner",,find /usr -type f -mtime -1 | wc -l,,check/integer-match.py
6_new.json_0,execute ~/test and get the output,useradd -s /bin/bash -d /home/jack -m jack && cd /home/jack && echo 'echo a3b0c7' > test && chmod 000 test && chown jack test,,,a3b0c7,check/string-match.py
6_new.json_1,What will be the output if I execute ~/test?,useradd -s /bin/bash -d /home/jack -m jack && cd /home/jack && echo 'echo a3b0c7' > test && chmod 000 test && chown jack test,,,a3b0c7,check/string-match.py
6_new.json_2,"make /testfile readable to jack, bill and tom, but not george",echo 'test' > /testfile && useradd -s /bin/bash -d /home/jack -m jack && useradd -s /bin/bash -d /home/bill -m bill && useradd -s /bin/bash -d /home/tom -m tom && useradd -s /bin/bash -d /home/george -m george, echo $(for user in jack bill tom george; do runuser -l $user -c 'cat /testfile' &>/dev/null && echo -n 1 || echo -n 0; done),,1110,check/string-match.py
6_new.json_3,There's a vulnerability in the system (Hint: related to SUID). Find it and fix it.,chmod u+s /usr/bin/find,"ls -l /usr/bin/find | awk '{if ($3 == ""root"" && $1 ~ /^-..s/) print 1; else print 0;}'",,0,check/integer-match.py
6_new.json_4,"set all files in ~/videos to be 660, and all directories(include ~/videos) to be 750",cd ~ && mkdir videos && cd videos && mkdir old && mkdir new && touch vid1 && touch vid2 && touch new/a && touch new/b && touch old/c,"[ $(stat -c ""%a"" ~/videos) -eq 750 ] && [ -z ""$(find ~/videos -type d ! -perm 750 -o -type f ! -perm 660)"" ] && echo 1 || echo 0",,1,check/integer-match.py
6_new.json_5,ahh! Why can't I use sudo??? Is it because the WiFi I'm using? fix it!!!,echo '' > /etc/sudoers,"sudo whoami | if [ ""$(cat -)"" = ""root"" ]; then echo 1; else echo 0; fi",,1,check/integer-match.py
6_new.json_6,Why can't I use sudo? Help me fix it.,echo '' > /etc/sudoers,"sudo whoami | if [ ""$(cat -)"" = ""root"" ]; then echo 1; else echo 0; fi",,1,check/integer-match.py
6_new.json_7,"Suppose you have a directory called /data that contains sensitive files that should only be accessible to members of the group ""dataaccess"". Ensure that new files and directories created in this directory inherit the group ownership, and that users can only delete files and directories that they own",mkdir /data,ls -ld /data | awk '{if ($1~/^drwxr-sr-t$/) { print 1; } else { print 0; }}',,1,check/integer-match.py
6_new.json_8,Why can't I use sudo?? fix it.,apt remove -y sudo,"sudo whoami | if [ ""$(cat -)"" = ""root"" ]; then echo 1; else echo 0; fi",,1,check/integer-match.py
7_bootstrap.json_0,"The problem is related to process management in the Linux operating system. You will need to find the total number of active processes running in the user's Linux (ubuntu) operating system.

You are required to write a bash script that counts all the active processes and displays the count as an integer value.

We will initialize the environment by creating an additional 5 processes that will run for 60 seconds each in the background.","#!/bin/bash

for i in {1..5}
do
  (sleep 600) &
done",,"#!/bin/bash

ps -A | wc -l",,check/integer-match.py
7_bootstrap.json_1,"In this problem, your task is to find the total count of processes that are currently running on the student's Linux (Ubuntu) operating system having 'bash' in their command name or path. The answer must be an integer.",,,ps -ef | grep -i 'bash' | grep -v 'grep' | wc -l,,check/integer-match.py
7_bootstrap.json_2,"As a student, you are required to calculate the total size of all files with a specific file extension in a given directory and its subdirectories. You have to use Linux (Ubuntu) operating system commands to achieve this. The file extension and directory path will be given to you as input arguments.

The given directory is `./problem_dir`","mkdir -p problem_dir/sub1/sub2
echo ""This is a test file"" > problem_dir/testfile1.txt
echo ""This is another test file"" > problem_dir/sub1/testfile2.txt
echo ""This is the third test file"" > problem_dir/sub1/sub2/testfile3.txt
echo ""This is a PDF file"" > problem_dir/sub1/sub2/testfile4.pdf",,"cd problem_dir
find . -type f -iname ""*.txt"" -exec stat -c""%s"" {} \; | awk '{total=total+$1} END {print total}'",,check/integer-match.py
7_bootstrap.json_3,"Design a problem that challenges students to count the number of lines containing the word ""error"" in all files with the extension "".log"" in the current directory (excluding subdirectories). Count only lines where ""error"" appears and is not part of another word. For example, ""errors"" should not be counted. The output should be an integer.","#!/bin/bash

# Create the necessary log files for the experiment
echo ""Error on line 1"" > file1.log
echo ""Correct on line 2"" >> file1.log
echo ""error on line 3"" >> file1.log
echo ""errors on line 4"" >> file1.log

echo ""Log message without error"" > file2.log
echo ""Another error on line 2"" >> file2.log
echo ""Error in caps ERROR"" >> file2.log

echo ""No errors here"" > file3.log
echo ""error error"" >> file3.log

# Create a non-log file for control
echo ""error non-log file"" > notlogfile.txt",,"# The following command can be used to get the standard answer
find . -maxdepth 1 -name '*.log' -print0 | xargs -0 grep -iw '\<error\>' | wc -l",,check/integer-match.py
7_bootstrap.json_4,"You are using a Linux operating system (Ubuntu), and your task is to find out the total number of processes that are using a specific user's UID.

In this exercise, you'll use standard Linux command-line utilities like 'ps', 'grep', and 'wc' to achieve this. Additionally, you will execute an initialization script that simulates an environment with a specific number of processes running as that specific user.

Your answer should be an integer representing the total number of processes running as that user.","#!/bin/bash
USERNAME=""temp_student""
useradd $USERNAME
COUNT=5

for i in $(seq 1 $COUNT); do
  sudo -u $USERNAME sleep 1000 &
done",,"#!/bin/bash
ps -eo user:30,command | grep ""^temp_student"" | wc -l",,check/integer-match.py
7_bootstrap.json_5,"You are given a Linux file system with two directories named ""dir1"" and ""dir2"". Both directories contain a set of text files. Your task is to write a bash script to count the total number of lines in all the text files that reside in both ""dir1"" and ""dir2"". Please only consider the files with '.txt' extension.","#!/bin/bash
mkdir -p dir1 dir2

echo ""Hello world"" > dir1/file1.txt
echo -e ""This is a test\nAdding more content"" > dir1/file2.txt
echo ""Another hello world"" > dir2/file3.txt
echo -e ""This is another test\nAdding even more content"" > dir2/file4.txt

echo ""Initialization done.""",,"#!/bin/bash
count_dir1=$(find dir1 -iname ""*.txt"" -exec wc -l {} + | awk '{s+=$1} END {print s}')
count_dir2=$(find dir2 -iname ""*.txt"" -exec wc -l {} + | awk '{s+=$1} END {print s}')

total_count=$((count_dir1 + count_dir2))
echo ""$total_count""",,check/integer-match.py
7_bootstrap.json_6,"You are given a task to monitor system usage in a Linux (Ubuntu) operating system. You are required to calculate the percentage of the available memory (in integers) that has been used on the system. To do this, you will first execute an initialization script to deploy the environment on each student's Linux system, and then execute a piece of code to produce an integer as the standard answer. Your task is to devise a problem, bash scripts for initialization, and an example script to calculate the used memory percentage.

Please keep in mind that the question description must be related to the Linux operating system and the output must only contain integers.",,,"#!/bin/bash
# Get 'free' command output, filter memory lines with 'grep' and extract total memory and free memory
total_mem=$(free -m | grep Mem | awk '{print $2}')
free_mem=$(free -m | grep Mem | awk '{print $4}')

# Calculate used memory percentage (integer)
used_mem_percentage=$(( (total_mem - free_mem) * 100 / total_mem ))

# Display the used memory percentage (integer) as output
echo ""${used_mem_percentage}""",,check/integer-match.py
7_bootstrap.json_7,"Your task is to calculate the total size of all files in a given directory, including files in its subdirectories, and return the total size in bytes. The given directory is `/home/user/experiment` which contains multiple subdirectories and files of different sizes.

NOTE: You should not use any pre-built tools or commands to return the total directory size directly (e.g., `du`). You are required to find the size of each file individually and calculate the total sum. The answer must be an integer.","#!/bin/bash
mkdir -p /home/user/experiment/dir1/dir2
mkdir -p /home/user/experiment/dir1/dir3
mkdir -p /home/user/experiment/dir4
echo ""Hello World"" > /home/user/experiment/dir1/file1.txt
echo ""I am a programmer"" > /home/user/experiment/dir1/file2.txt
echo ""This is a script"" > /home/user/experiment/dir1/dir2/file3.txt
echo ""Linux is fun"" > /home/user/experiment/dir1/dir3/file4.txt
echo ""Operating systems are interesting"" > /home/user/experiment/dir4/file5.txt",,"#!/bin/bash
find /home/user/experiment -type f -exec stat -c ""%s"" {} \; | awk '{total+=$1} END {print total}'",,check/integer-match.py
7_bootstrap.json_8,"In this problem, the students should calculate the total number of files and directories (recursive) in a given directory. The directory will be created and populated with files and directories by the initialization script. During the initialization, a specific environment variable `TARGET_DIR` will be set pointing to the created directory, which should be used by the students in their command.

You need to find the total number of files and directories (recursive) in the directory pointed by `TARGET_DIR`. Use the command line to achieve this and submit your answer as an integer. ","#!/bin/bash
# Create the target directory
export TARGET_DIR=$HOME/TA_problem
mkdir -p $TARGET_DIR

# Create sub-directories and files
mkdir -p $TARGET_DIR/dir1
touch $TARGET_DIR/dir1/file1.txt
mkdir -p $TARGET_DIR/dir1/dir2
touch $TARGET_DIR/dir1/dir2/file2.txt
touch $TARGET_DIR/dir1/dir2/file3.txt
mkdir -p $TARGET_DIR/dir3
touch $TARGET_DIR/dir3/file4.txt",,find $TARGET_DIR -type f -o -type d | wc -l,,check/integer-match.py
